Date,Deaths,Confirmed
12-03-2020,0,17
13-03-2020,0,19
14-03-2020,0,19
15-03-2020,0,22
16-03-2020,0,23
17-03-2020,0,26
18-03-2020,0,27
19-03-2020,0,27
20-03-2020,0,28
21-03-2020,0,40
22-03-2020,0,52
23-03-2020,0,67
24-03-2020,0,95
25-03-2020,0,109
26-03-2020,0,118
27-03-2020,0,137
28-03-2020,0,176
29-03-2020,1,182
30-03-2020,1,202
31-03-2020,1,234
01-04-2020,2,241
02-04-2020,2,265
03-04-2020,2,286
04-04-2020,2,295
05-04-2020,2,306
06-04-2020,2,314
07-04-2020,2,327
08-04-2020,2,336
09-04-2020,2,345
10-04-2020,2,357
11-04-2020,2,364
12-04-2020,2,374
13-04-2020,3,376
14-04-2020,3,379
15-04-2020,3,387
16-04-2020,3,388
17-04-2020,3,395
18-04-2020,3,396
19-04-2020,3,400
20-04-2020,3,402
21-04-2020,3,408
22-04-2020,3,427
23-04-2020,3,438
24-04-2020,3,448
25-04-2020,4,451
26-04-2020,4,458
27-04-2020,4,469
28-04-2020,4,482
29-04-2020,4,486
30-04-2020,4,496
01-05-2020,4,497
02-05-2020,4,497
03-05-2020,4,500
04-05-2020,4,500
05-05-2020,4,500
06-05-2020,4,502
07-05-2020,4,503
08-05-2020,4,503
09-05-2020,4,503
10-05-2020,4,505
11-05-2020,4,512
12-05-2020,4,519
13-05-2020,4,524
14-05-2020,4,534
15-05-2020,4,560
16-05-2020,4,576
17-05-2020,4,587
18-05-2020,4,601
19-05-2020,4,630
20-05-2020,4,642
21-05-2020,4,666
22-05-2020,4,690
23-05-2020,4,732
24-05-2020,4,795
25-05-2020,4,847
26-05-2020,5,896
27-05-2020,6,963
28-05-2020,7,1004
29-05-2020,7,1088
30-05-2020,8,1150
31-05-2020,9,1208
01-06-2020,9,1269
02-06-2020,10,1326
03-06-2020,11,1412
04-06-2020,11,1494
05-06-2020,14,1588
06-06-2020,14,1699
07-06-2020,15,1807
08-06-2020,15,1914
09-06-2020,16,2005
10-06-2020,16,2096
11-06-2020,18,2161
12-06-2020,18,2244
13-06-2020,19,2322
14-06-2020,19,2407
15-06-2020,19,2461
16-06-2020,20,2543
17-06-2020,20,2622
18-06-2020,20,2697
19-06-2020,21,2794
20-06-2020,21,2912
21-06-2020,21,3039
22-06-2020,21,3172
23-06-2020,21,3310
24-06-2020,22,3451
25-06-2020,22,3603
26-06-2020,22,3726
27-06-2020,22,3876
28-06-2020,22,4071
29-06-2020,22,4189
30-06-2020,22,4189
01-07-2020,24,4442
02-07-2020,24,4593
03-07-2020,25,4753
04-07-2020,25,4964
05-07-2020,25,5204
06-07-2020,25,5429
07-07-2020,27,5622
08-07-2020,27,5894
09-07-2020,27,6195
10-07-2020,27,6534
11-07-2020,27,6950
12-07-2020,29,7438
13-07-2020,31,7873
14-07-2020,33,8322
15-07-2020,34,8930
16-07-2020,35,9553
17-07-2020,37,10275
18-07-2020,38,11066
19-07-2020,40,11659
20-07-2020,42,12480
21-07-2020,43,13274
22-07-2020,44,13994
23-07-2020,45,15032
24-07-2020,50,16110
25-07-2020,54,16995
26-07-2020,59,18098
27-07-2020,61,19025
28-07-2020,63,19727
29-07-2020,67,20894
30-07-2020,68,21797
31-07-2020,70,22303
01-08-2020,73,23613
02-08-2020,81,24742
03-08-2020,82,25911
04-08-2020,84,26873
05-08-2020,87,27956
06-08-2020,94,29151
